COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE,OBSERVER ID,code,group,YEAR
Townsend's Solitaire,38.5160663,-122.098095,1981-12-20,obsr215374,4.0,PASSERIFORMES,1981
Rough-legged Hawk,38.5130495,-121.6073227,1981-12-27,obsr14968,4.0,ACCIPITRIFORMES,1981
Rough-legged Hawk,38.4239109,-121.6918822,1982-01-22,obsr14968,4.0,ACCIPITRIFORMES,1982
Lapland Longspur,38.4239109,-121.6918822,1982-01-23,obsr14968,4.0,PASSERIFORMES,1982
Mountain Plover,38.5971513,-121.7302322,1982-01-23,obsr265147,4.0,CHARADRIIFORMES,1982
Townsend's Solitaire,38.5363669,-121.7485464,1982-01-26,obsr14968,4.0,PASSERIFORMES,1982
Surf Scoter,38.5930928,-121.6697216,1982-01-26,obsr14968,4.0,ANSERIFORMES,1982
Evening Grosbeak,38.5363669,-121.7485464,1982-01-26,obsr14968,4.0,PASSERIFORMES,1982
Yellow-billed Cuckoo,38.6598791,-121.6099737,1982-05-20,obsr14968,4.0,CUCULIFORMES,1982
Rose-breasted Grosbeak,38.6598791,-121.6099737,1982-06-10,obsr14968,4.0,PASSERIFORMES,1982
Black-throated Green Warbler,38.6598791,-121.6099737,1982-06-18,obsr14968,5.0,PASSERIFORMES,1982
Red-eyed Vireo,38.6615862,-121.6128512,1982-09-08,obsr14968,5.0,PASSERIFORMES,1982
Surf Scoter,38.5602472,-121.5981817,1983-02-11,obsr14968,4.0,ANSERIFORMES,1983
Mountain Plover,38.7464524,-121.7295456,1983-11-27,obsr60228,4.0,CHARADRIIFORMES,1983
Horned Grebe,38.5471753,-121.7280436,1984-01-17,obsr163782,4.0,PODICIPEDIFORMES,1984
Rough-legged Hawk,38.6719793,-121.9518471,1984-01-21,obsr26970,4.0,ACCIPITRIFORMES,1984
Northern Saw-whet Owl,38.5427227,-121.7654255,1985-01-06,obsr718596,4.0,STRIGIFORMES,1985
Northern Shrike,38.6758613,-121.6693783,1985-01-17,obsr163782,4.0,PASSERIFORMES,1985
Rough-legged Hawk,38.703932,-121.7213917,1985-01-27,obsr718596,4.0,ACCIPITRIFORMES,1985
Pacific Loon,38.4945782,-122.0090103,1985-05-10,obsr718596,5.0,GAVIIFORMES,1985
Black-chinned Sparrow,38.8080118,-122.2295952,1985-05-17,obsr718596,4.0,PASSERIFORMES,1985
Lapland Longspur,38.5371558,-121.7803574,1985-11-21,obsr718596,4.0,PASSERIFORMES,1985
Mountain Plover,38.6052543,-121.7300892,1985-11-25,obsr26970,4.0,CHARADRIIFORMES,1985
Mountain Plover,38.9218929,-121.8600142,1986-01-01,obsr229232,4.0,CHARADRIIFORMES,1986
Rough-legged Hawk,38.5930928,-121.6697216,1986-01-06,obsr718596,4.0,ACCIPITRIFORMES,1986
Northern Shrike,38.5934618,-121.6840553,1986-01-13,obsr718596,4.0,PASSERIFORMES,1986
Steller's Jay,38.8539795,-122.2014856,1986-02-23,obsr718596,4.0,PASSERIFORMES,1986
Red-throated Loon,38.5711191,-121.5764236,1986-03-14,obsr293781,5.0,GAVIIFORMES,1986
Calliope Hummingbird,38.5652917,-121.983677,1986-04-27,obsr718596,4.0,CAPRIMULGIFORMES,1986
Gray Flycatcher,38.5564344,-121.7332014,1986-05-10,obsr718596,4.0,PASSERIFORMES,1986
Costa's Hummingbird,38.875265,-122.3256612,1986-05-19,obsr163782,4.0,CAPRIMULGIFORMES,1986
Pectoral Sandpiper,38.6943865,-121.724267,1986-08-07,obsr163782,4.0,CHARADRIIFORMES,1986
Sabine's Gull,38.5930928,-121.6697216,1986-09-12,obsr163782,4.0,CHARADRIIFORMES,1986
Evening Grosbeak,38.5606499,-121.7164564,1986-11-30,obsr678154,4.0,PASSERIFORMES,1986
Rough-legged Hawk,38.5573017,-121.7253955,1987-01-15,obsr34154,4.0,ACCIPITRIFORMES,1987
Stilt Sandpiper,38.703932,-121.7213917,1987-07-01,obsr57626,4.0,CHARADRIIFORMES,1987
Ruddy Turnstone,38.5930928,-121.6697216,1987-07-26,obsr293781,4.0,CHARADRIIFORMES,1987
Pacific Golden-Plover,38.6806857,-121.6590786,1987-08-09,obsr293781,4.0,CHARADRIIFORMES,1987
Pectoral Sandpiper,38.5930928,-121.6697216,1987-09-15,obsr293781,4.0,CHARADRIIFORMES,1987
Sabine's Gull,38.7134427,-121.7472267,1987-10-16,obsr293781,4.0,CHARADRIIFORMES,1987
Mountain Plover,38.6112691,-121.692545,1987-11-15,obsr293781,4.0,CHARADRIIFORMES,1987
Steller's Jay,38.5141576,-122.1031666,1987-11-21,obsr293781,4.0,PASSERIFORMES,1987
Rough-legged Hawk,38.4239109,-121.6918822,1988-01-16,obsr14968,4.0,ACCIPITRIFORMES,1988
Horned Grebe,38.562462,-121.553936,1988-02-20,obsr293781,4.0,PODICIPEDIFORMES,1988
Evening Grosbeak,38.5606499,-121.7164564,1988-05-25,obsr678154,4.0,PASSERIFORMES,1988
Garganey,38.703932,-121.7213917,1988-06-19,obsr293781,5.0,ANSERIFORMES,1988
Calliope Hummingbird,38.4795151,-121.5519791,1988-09-17,obsr293781,4.0,CAPRIMULGIFORMES,1988
Pectoral Sandpiper,38.5930928,-121.6697216,1988-10-03,obsr293781,4.0,CHARADRIIFORMES,1988
Black-and-white Warbler,38.5606499,-121.7164564,1988-12-12,obsr678154,4.0,PASSERIFORMES,1988
Mountain Plover,38.5749441,-121.6764164,1989-01-02,obsr496984,4.0,CHARADRIIFORMES,1989
Rough-legged Hawk,38.8894462,-122.2388864,1989-01-07,obsr496984,4.0,ACCIPITRIFORMES,1989
Northern Shrike,38.6201085,-121.8894215,1989-01-19,obsr224810,4.0,PASSERIFORMES,1989
Franklin's Gull,38.6657506,-121.7174863,1989-02-10,obsr293781,4.0,CHARADRIIFORMES,1989
Snowy Plover,38.5930928,-121.6697216,1989-07-29,obsr293781,4.0,CHARADRIIFORMES,1989
Ruddy Turnstone,38.5930928,-121.6697216,1989-07-29,obsr293781,4.0,CHARADRIIFORMES,1989
Pacific Golden-Plover,38.5930928,-121.6697216,1989-10-12,obsr293781,4.0,CHARADRIIFORMES,1989
Common Loon,38.4945782,-122.0090103,1989-11-17,obsr293781,4.0,GAVIIFORMES,1989
Yellow-bellied Sapsucker,38.5573017,-121.7253955,1989-12-31,obsr34154,4.0,PICIFORMES,1989
Yellow-bellied Sapsucker,38.5573017,-121.7253955,1990-01-01,obsr34154,4.0,PICIFORMES,1990
Chestnut-backed Chickadee,38.5837552,-121.5083599,1990-04-18,obsr422560,4.0,PASSERIFORMES,1990
